iso3,lat_bin,lon_bin,value,log10_value
CHN,26.25,118.25,924347527.0,8.966
CHN,26.25,118.75,1503413560.0,9.177
CHN,26.25,119.25,102736293016.0,11.012
CHN,26.25,119.75,10310229824.0,10.013
CHN,26.75,98.75,40543519.0,7.608
CHN,26.75,99.25,82690461.0,7.917
CHN,26.75,99.75,277669167.0,8.444
CHN,26.75,100.25,7579169343.0,9.88
CHN,26.75,100.75,252105699.0,8.402
CHN,26.75,101.25,309577325.0,8.491
CHN,26.75,101.75,20212057319.0,10.306
CHN,26.75,102.25,790296518.0,8.898
CHN,26.75,102.75,593102038.0,8.773
CHN,26.75,103.25,220602918.0,8.344
CHN,26.75,103.75,315041038.0,8.498
CHN,26.75,104.25,1911620377.0,9.281
CHN,26.75,104.75,15653238242.0,10.195
CHN,26.75,105.25,1068076937.0,9.029
CHN,26.75,105.75,2273270596.0,9.357
CHN,26.75,106.25,5314400913.0,9.725
CHN,26.75,106.75,197122762580.0,11.295
CHN,26.75,107.25,1182798316.0,9.073
CHN,26.75,107.75,6813924153.0,9.833
CHN,26.75,108.25,1248317238.0,9.096
CHN,26.75,108.75,511340525.0,8.709
CHN,26.75,109.25,617442471.0,8.791
CHN,26.75,109.75,709576444.0,8.851
CHN,26.75,110.25,431007230.0,8.634
CHN,26.75,110.75,2506836018.0,9.399
CHN,26.75,111.25,529085305.0,8.724
CHN,26.75,111.75,2374434704.0,9.376
CHN,26.75,112.25,3691007474.0,9.567
CHN,26.75,112.75,47342952353.0,10.675
CHN,26.75,113.25,1044500908.0,9.019
CHN,26.75,113.75,945022709.0,8.975
CHN,26.75,114.25,694654762.0,8.842
CHN,26.75,114.75,2578004201.0,9.411
CHN,26.75,115.25,233606069.0,8.368
CHN,26.75,115.75,222051491.0,8.346
CHN,26.75,116.25,751467649.0,8.876
CHN,26.75,116.75,175502087.0,8.244
CHN,26.75,117.25,564879582.0,8.752
CHN,26.75,117.75,635551028.0,8.803
CHN,26.75,118.25,4976657795.0,9.697
CHN,26.75,118.75,1119484914.0,9.049
CHN,26.75,119.25,775029537.0,8.889
CHN,26.75,119.75,6536631093.0,9.815
CHN,26.75,120.25,718576040.0,8.856
CHN,27.25,88.75,14289066.0,7.155
CHN,27.25,98.75,17436541.0,7.241
CHN,27.25,99.25,132099230.0,8.121
CHN,27.25,99.75,35593702.0,7.551
CHN,27.25,100.25,50047898.0,7.699
CHN,27.25,100.75,116082139.0,8.065
CHN,27.25,101.25,139879451.0,8.146
CHN,27.25,101.75,216555141.0,8.336
CHN,27.25,102.25,633569971.0,8.802
CHN,27.25,102.75,594538952.0,8.774
CHN,27.25,103.25,229110450.0,8.36
CHN,27.25,103.75,10809652732.0,10.034
CHN,27.25,104.25,227429284.0,8.357
CHN,27.25,104.75,2162755530.0,9.335
CHN,27.25,105.25,8869373616.0,9.948
CHN,27.25,105.75,1985298065.0,9.298
CHN,27.25,106.25,3393491105.0,9.531
CHN,27.25,106.75,2911675042.0,9.464
CHN,27.25,107.25,1485237511.0,9.172
CHN,27.25,107.75,830208501.0,8.919
CHN,27.25,108.25,443557045.0,8.647
CHN,27.25,108.75,869254585.0,8.939
CHN,27.25,109.25,893819485.0,8.951
CHN,27.25,109.75,1642332988.0,9.215
CHN,27.25,110.25,539057943.0,8.732
CHN,27.25,110.75,1496145109.0,9.175
CHN,27.25,111.25,22063114551.0,10.344
CHN,27.25,111.75,8022496535.0,9.904
CHN,27.25,112.25,2322617305.0,9.366
CHN,27.25,112.75,1868770497.0,9.272
CHN,27.25,113.25,542191310.0,8.734
CHN,27.25,113.75,346151246.0,8.539
CHN,27.25,114.25,200984929.0,8.303
CHN,27.25,114.75,14043277413.0,10.147
CHN,27.25,115.25,7519875750.0,9.876
CHN,27.25,115.75,397285391.0,8.599
CHN,27.25,116.25,233355141.0,8.368
CHN,27.25,116.75,1233904823.0,9.091
CHN,27.25,117.25,1000510917.0,9.0
CHN,27.25,117.75,715282833.0,8.854
CHN,27.25,118.25,2518670239.0,9.401
CHN,27.25,118.75,320160134.0,8.505
CHN,27.25,119.25,432975887.0,8.636
CHN,27.25,119.75,3740350676.0,9.573
CHN,27.25,120.25,8052630238.0,9.906
CHN,27.25,120.75,6328305102.0,9.801
CHN,27.75,85.75,1273138.0,6.105
CHN,27.75,86.25,749872.0,5.875
CHN,27.75,86.75,44709.0,4.65
CHN,27.75,87.25,1220103.0,6.086
CHN,27.75,87.75,616611.0,5.79
CHN,27.75,88.25,113171.0,5.054
CHN,27.75,88.75,2053208.0,6.312
CHN,27.75,89.25,1836669.0,6.264
CHN,27.75,91.75,939341.0,5.973
CHN,27.75,92.25,1410421.0,6.149
CHN,27.75,92.75,407363.0,5.61
CHN,27.75,98.25,2702429.0,6.432
CHN,27.75,98.75,31707580.0,7.501
CHN,27.75,99.25,30946013.0,7.491
CHN,27.75,99.75,193261177.0,8.286
CHN,27.75,100.25,14814352.0,7.171
CHN,27.75,100.75,31997811.0,7.505
CHN,27.75,101.25,70477247.0,7.848
CHN,27.75,101.75,37975770.0,7.58
CHN,27.75,102.25,13295647424.0,10.124
CHN,27.75,102.75,128693024.0,8.11
CHN,27.75,103.25,136456982.0,8.135
CHN,27.75,103.75,913052811.0,8.96
CHN,27.75,104.25,1594090319.0,9.203
CHN,27.75,104.75,919238222.0,8.963
CHN,27.75,105.25,611004162.0,8.786
CHN,27.75,105.75,220491282.0,8.343
CHN,27.75,106.25,4169480109.0,9.62
CHN,27.75,106.75,40640471850.0,10.609
CHN,27.75,107.25,4661077801.0,9.668
CHN,27.75,107.75,774445477.0,8.889
CHN,27.75,108.25,1433312395.0,9.156
CHN,27.75,108.75,337989338.0,8.529
CHN,27.75,109.25,5408675539.0,9.733
CHN,27.75,109.75,15056494322.0,10.178
CHN,27.75,110.25,1292472814.0,9.111
CHN,27.75,110.75,1633474109.0,9.213
CHN,27.75,111.25,5527758680.0,9.743
CHN,27.75,111.75,10807909560.0,10.034
CHN,27.75,112.25,5677068553.0,9.754
CHN,27.75,112.75,59215146975.0,10.772
CHN,27.75,113.25,63410317148.0,10.802
CHN,27.75,113.75,15133103613.0,10.18
CHN,27.75,114.25,13868056951.0,10.142
CHN,27.75,114.75,14811919122.0,10.171
CHN,27.75,115.25,1633132770.0,9.213
CHN,27.75,115.75,318623169.0,8.503
CHN,27.75,116.25,15146341335.0,10.18
CHN,27.75,116.75,2036037644.0,9.309
CHN,27.75,117.25,426319176.0,8.63
CHN,27.75,117.75,550250226.0,8.741
CHN,27.75,118.25,1293439473.0,9.112
CHN,27.75,118.75,882088406.0,8.946
CHN,27.75,119.25,314548467.0,8.498
CHN,27.75,119.75,1029342688.0,9.013
CHN,27.75,120.25,19703820547.0,10.295
CHN,27.75,120.75,226572619229.0,11.355
CHN,27.75,121.25,128343850.0,8.108
CHN,28.25,85.25,2342319.0,6.37
CHN,28.25,85.75,2705713.0,6.432
CHN,28.25,86.25,2310770.0,6.364
CHN,28.25,86.75,2773325.0,6.443
CHN,28.25,87.25,3514411.0,6.546
CHN,28.25,87.75,5874755.0,6.769
CHN,28.25,88.25,3217609.0,6.508
CHN,28.25,88.75,2987116.0,6.475
CHN,28.25,89.25,2640853.0,6.422
CHN,28.25,89.75,1700449.0,6.231
CHN,28.25,90.25,856282.0,5.933
CHN,28.25,90.75,4173646.0,6.621
CHN,28.25,91.25,4674205.0,6.67
CHN,28.25,91.75,2736682.0,6.437
CHN,28.25,92.25,13129579.0,7.118
CHN,28.25,92.75,3584075.0,6.554
CHN,28.25,93.25,140646.0,5.148
CHN,28.25,96.25,67866.0,4.832
CHN,28.25,96.75,518987.0,5.715
CHN,28.25,97.25,1174956.0,6.07
CHN,28.25,97.75,376089.0,5.575
CHN,28.25,98.25,2262487.0,6.355
CHN,28.25,98.75,11490665.0,7.06
CHN,28.25,99.25,12743142.0,7.105
CHN,28.25,99.75,6746497.0,6.829
CHN,28.25,100.25,4811812.0,6.682
CHN,28.25,100.75,10310995.0,7.013
CHN,28.25,101.25,11554480.0,7.063
CHN,28.25,101.75,38178680.0,7.582
CHN,28.25,102.25,571220749.0,8.757
CHN,28.25,102.75,145903581.0,8.164
CHN,28.25,103.25,220777966.0,8.344
CHN,28.25,103.75,2413458988.0,9.383
CHN,28.25,104.25,1596944417.0,9.203
CHN,28.25,104.75,4043317705.0,9.607
CHN,28.25,105.25,2571869151.0,9.41
CHN,28.25,105.75,718471012.0,8.856
CHN,28.25,106.25,972021974.0,8.988
CHN,28.25,106.75,1102415396.0,9.042
CHN,28.25,107.25,157533659.0,8.197
CHN,28.25,107.75,300446906.0,8.478
CHN,28.25,108.25,1281549908.0,9.108
CHN,28.25,108.75,821416553.0,8.915
CHN,28.25,109.25,919502763.0,8.964
CHN,28.25,109.75,3390388352.0,9.53
CHN,28.25,110.25,1039130120.0,9.017
CHN,28.25,110.75,151079474.0,8.179
CHN,28.25,111.25,462195709.0,8.665
CHN,28.25,111.75,284063600.0,8.453
CHN,28.25,112.25,1250896447.0,9.097
CHN,28.25,112.75,241034963489.0,11.382
CHN,28.25,113.25,140412571851.0,11.147
CHN,28.25,113.75,1682333316.0,9.226
CHN,28.25,114.25,1222793303.0,9.087
CHN,28.25,114.75,2877686063.0,9.459
CHN,28.25,115.25,4594329936.0,9.662
